Date,Location,AQI,NO2,SO2,PM2.5,PM10
2020-01-12,"Adilabad, Telangana, India",114,11.532499999999999,14.119166666666667,64.31666666666666,71.24458333333332
2020-01-12,"Karimnagar, Telangana, India",240,17.677500000000002,7.001666666666667,101.99416666666667,115.70458333333333
2020-01-12,"Khammam, Telangana, India",150,6.395833333333333,3.274583333333333,75.0475,81.25083333333333
2020-01-12,"Nizamabad, Telangana, India",147,9.455416666666666,10.259166666666667,74.22,87.46875
2020-01-12,"Warangal, Telangana, India",196,15.177916666666667,6.458333333333333,88.81125000000002,98.95791666666666
2020-02-12,"Adilabad, Telangana, India",239,14.9,26.246666666666666,101.80416666666667,110.42041666666667
2020-02-12,"Karimnagar, Telangana, India",303,26.81833333333333,23.317083333333333,123.86166666666665,138.90041666666667
2020-02-12,"Khammam, Telangana, India",129,4.984583333333333,2.16375,68.77708333333332,73.67041666666667
2020-02-12,"Nizamabad, Telangana, India",263,12.847499999999998,12.416666666666666,108.79875,124.92833333333334
2020-02-12,"Warangal, Telangana, India",255,13.95875,8.044166666666667,106.62666666666667,116.18166666666667
2020-03-12,"Adilabad, Telangana, India",268,15.100833333333334,22.189166666666665,110.42916666666667,119.45333333333333
2020-03-12,"Karimnagar, Telangana, India",318,26.617916666666662,28.34,142.81583333333333,158.2175
2020-03-12,"Khammam, Telangana, India",301,6.569166666666666,5.453333333333333,121.83083333333335,129.35083333333333
2020-03-12,"Nizamabad, Telangana, India",284,12.605416666666665,12.558333333333332,115.12083333333334,131.2725
2020-03-12,"Warangal, Telangana, India",285,12.570833333333333,6.366666666666667,115.64625000000001,125.28125
2020-04-12,"Adilabad, Telangana, India",256,14.997083333333334,24.111666666666665,106.7475,115.30708333333332
2020-04-12,"Karimnagar, Telangana, India",313,23.722916666666666,22.013749999999998,136.69166666666666,149.93333333333334
2020-04-12,"Khammam, Telangana, India",303,6.182916666666666,3.22,123.61916666666667,130.14625
2020-04-12,"Nizamabad, Telangana, India",304,12.079583333333334,11.680833333333332,124.75291666666668,140.26458333333332
2020-04-12,"Warangal, Telangana, India",300,20.24416666666667,7.139166666666667,120.08875,131.90125
2020-05-12,"Adilabad, Telangana, India",171,11.063749999999999,16.19333333333333,81.32291666666667,88.08166666666666
